brand,category,product_name,avg_price,min_price,max_price,price_std,product_count
ritmix,electronics,tablet,8.85,8.73,9.67,0.32,16
ritmix,electronics,telephone,16.58,9.54,23.49,4.05,198
ritmix,electronics,video,12.75,10.4,17.81,3.24,8
riva,accessories,bag,26.7,26.7,26.7,0.0,3
riva,computers,notebook,24.57,23.86,24.67,0.27,17
riva,electronics,tablet,19.63,16.0,23.9,3.72,19
rivacase,accessories,bag,40.11,8.78,65.97,17.63,106
robiton,stationery,battery,6.63,1.57,11.13,4.3,87
roccat,computers,desktop,140.12,78.13,145.57,16.83,36
roccat,computers,keyboard,100.05,73.68,113.17,10.13,333
roccat,computers,mouse,68.62,36.6,79.27,9.95,285
rokform,electronics,telephone,45.14,31.25,59.03,14.64,10
rolsen,auto,radar,37.62,37.62,37.62,0.0,6
romix,accessories,bag,21.59,21.59,21.59,,1
romix,electronics,telephone,17.88,15.24,18.41,1.29,6
romoss,computers,network_adapter,11.75,11.75,11.75,,1
rondell,appliances,coffee_machine,15.0,13.92,16.63,1.4,10
rovermate,electronics,clocks,25.79,25.79,25.79,0.0,7
rowenta,appliances,hair_cutter,71.02,40.08,120.0,27.14,48
rowenta,appliances,iron,136.02,136.02,136.02,0.0,6
rowenta,appliances,massager,56.51,56.51,56.51,0.0,4
rowenta,appliances,steam_cleaner,268.11,268.11,268.11,0.0,2
rus,auto,window,13.17,13.17,13.17,0.0,31
